[2019-03-21 23:03:30,196] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "message": "logged in", "token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTMxODQyMTAsIm5iZiI6MTU1MzE4NDIxMCwianRpIjoiZGNmZmY5MjEtZDBmMy00ODEwLTgwN2MtZjM0YjQ0ZWQ2MjkxIiwiZXhwIjoxNTUzMjcwNjEwLCJpZGVudGl0eSI6eyJ1c2VyX2lkIjoyLCJzdG9yZV9uYW1lIjoiU2lzIFNwb3J0Iiwic3RhdHVzIjoidXNlciJ9LCJmcmVzaCI6ZmFsc2UsInR5cGUiOiJhY2Nlc3MiLCJ1c2VyX2NsYWltcyI6eyJ1c2VyX2lkIjoyLCJzdG9yZV9uYW1lIjoiU2lzIFNwb3J0Iiwic3RhdHVzIjoidXNlciJ9fQ.gQ2r8spoIcoOrQhs1mL34KmwAuUqEsBcD-ev3SBcfWs"}}
[2019-03-21 23:20:48,224] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:42} WARNING - REQUEST LOG	{"request": {"username": "ironman", "fullname": "Tony Stark", "address": "Avengers Facility", "phone": "08080808", "email": "tonystark@gmail.com", "password": "ironmanpass", "url_image": "https://ibb.co/hCqhg69"}, "response": {"status": "success", "message": "buyer's data saved", "data": {"buyer_id": 1, "username": "ironman", "fullname": "Tony Stark", "address": "Avengers Facility", "phone": "08080808", "email": "tonystark@gmail.com", "password": "70d27d1c1b9420d451c4f428e01f22eb", "status": "buyer", "url_image": "https://ibb.co/hCqhg69"}}}
[2019-03-22 01:32:21,512] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "list_item": [{"item_id": 1, "item_name": "Nike Tiempo X", "category": "sport", "price": 390000, "size": "40", "color": "Light Green", "posted_by": "Sis Sport", "qty": 1}, {"item_id": 3, "item_name": "Air Jordan 11 Concord", "category": "sport", "price": 1550000, "size": "40", "color": "Black & White", "posted_by": "MASKOOLIN", "qty": 1}], "total_payment": 1940000}}
[2019-03-22 01:33:51,397] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "list_item": [{"item_id": 1, "item_name": "Nike Tiempo X", "category": "sport", "price": 390000, "size": "40", "color": "Light Green", "posted_by": "Sis Sport", "qty": 1}, {"item_id": 3, "item_name": "Air Jordan 11 Concord", "category": "sport", "price": 1550000, "size": "40", "color": "Black & White", "posted_by": "MASKOOLIN", "qty": 1}], "total_payment": 1940000}}
[2019-03-22 01:33:55,157] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "list_item": [], "total_payment": 0}}
[2019-03-22 01:34:48,087] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "list_item": [], "total_payment": 0}}
[2019-03-22 01:34:50,785] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "list_item": [], "total_payment": 0}}
[2019-03-22 01:35:10,614] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "list_item": [], "total_payment": 0}}
[2019-03-22 01:35:14,754] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "list_item": [{"item_id": 1, "item_name": "Nike Tiempo X", "category": "sport", "price": 390000, "size": "40", "color": "Light Green", "posted_by": "Sis Sport", "qty": 1}, {"item_id": 3, "item_name": "Air Jordan 11 Concord", "category": "sport", "price": 1550000, "size": "40", "color": "Black & White", "posted_by": "MASKOOLIN", "qty": 1}], "total_payment": 1940000}}
[2019-03-24 15:21:00,588] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "message": "logged in", "data": {"user_id": 7, "store_name": "MASKOOLIN", "email": "maskoolin@gmail.com", "phone": "0811111111", "password": "1cb9936de07fa310608a3062884a6708", "website": "www.maskoolin.com", "address": "Jl.Soekarno-Hatta No.45 Malang", "status": "user", "url_image": "https://i.postimg.cc/dVcfnY24/toko2.png", "description": "MASKOOLIN menjual berbagai pilihan produk fashion pria dan pakaian pria yang dikurasi dari brand lokal dan brand internasional terbaik hanya untuk anda. Produk fashion pria yang kami jual sangat lengkap mulai dari pakaian pria seperti kemeja pria, kaos pria, polo shirt, celana panjang pria, celana jeans pria, celana jogger pria, celana pendek pria, dan banyak lagi. Selain itu Maskoolin juga menjual sepatu pria, jam tangan pria, dan aksesoris pria lainnya. Produk perawatan rambut pria yang kami tawarkan juga sangat lengkap, mulai dari pomade terbaik, penumbuh kumis, penumbuh jenggot, sisir pria, dan lainnya."}, "token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTM0MTU2NjAsIm5iZiI6MTU1MzQxNTY2MCwianRpIjoiMWFiYjBlY2EtOGUxZi00NzI4LTk4YzgtN2M5MWFiMjhiYzVhIiwiZXhwIjoxNTUzNTAyMDYwLCJpZGVudGl0eSI6eyJ1c2VyX2lkIjo3LCJzdG9yZV9uYW1lIjoiTUFTS09PTElOIiwic3RhdHVzIjoidXNlciJ9LCJmcmVzaCI6ZmFsc2UsInR5cGUiOiJhY2Nlc3MiLCJ1c2VyX2NsYWltcyI6eyJ1c2VyX2lkIjo3LCJzdG9yZV9uYW1lIjoiTUFTS09PTElOIiwic3RhdHVzIjoidXNlciJ9fQ.bGDz51kUAApHVxvqeH-nUIvPeikDuubSNj4XfMJMZQU"}}
[2019-03-26 11:41:20,598] {/home/alpha/Documents/Pajar/ProjectEcommerce/blueprint/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"status": "success", "list_item": [{"cart_id": 14, "item_id": 4, "item_name": "GRENSON ARCHIE BROGUE BLACK", "category": "brogues", "price": 500000, "size": "41", "color": "Black", "posted_by": "KICKZ", "qty": 5, "imgurl1": "https://i.postimg.cc/9QypGT4r/item-14.jpg", "price_total": 2500000}], "total_payment": 2500000}}
